File,epsilon_inf,t_sw,t_au,m,n,chi,reduced_chi,R_sq
e_026_01,137.86764504794778,3.267517197204985,175.41651273248925,4.7435781245056745,4.999999999999999,1306.6165770146322,62.219837000696770.04476349672757751,
e_026_02,82545.35068144799,108021.39398496412,14609.953009820816,4.532232158606089,1.5766780645047669,630.6690898238636,63.066908982386360.9060329742797748,
e_026_03,5517.341848270385,406.9116278485877,1387.1814025829356,4.594018161957503,1.3320116591405158,1242.1225787134829,103.510214892790240.863218309356714,
e_037_02,-501.65462361607985,399.0738516656517,117.74909168119484,4.999999999999999,4.999999999999999,470.77304873096807,39.231087394247340.37454734907096887,
e_037_03,834.942642552102,228.3711542409008,516.7828794335696,4.999999999999999,2.371346732363853,4.633647137852936,0.386137261487744740.9957529594306467,
e_037_04,-387.81510146675623,348.13187296071345,0.5589963389555379,4.999999999999999,3.611728650553202,206.3595367741949,17.1966280645162430.33995984113663935,
e_051_01,-213.9028039120171,193.92233424939118,188.48207022226825,1.8865471217633791,1.9648902681345104,78.61757938037564,2.4567993556367390.8392900311008895,
e_051_02,-250.10358555215345,335.8638306540727,215.67257176391442,1.9471318559394101e-31,2.541875706555228,27.36823435432948,1.05262439824344130.9670082724768932,
e_051_03,-1565.48376321806,1.1365343131815088e-08,4416.576783697228,0.04621750488552873,0.6284487995532851,61.72440973660625,2.12842792195193950.9185187944151028,
e_051_13,-928.1079635695307,189.16728001354457,773.6122142560339,4.999999999999999,1.6634797768401648,209.26148343294147,8.7192284763725620.7747872404232427,
e_051_14,72.65719869395804,3.5447886932977557,101.91284076433395,4.166091803371828,4.999999999999999,299.02200933718615,13.5919095153266430.16179461668355222,
e_051_15,165.76548059775757,0.6694238319551191,207.049529710502,3.7092206919881217,4.999999999999999,272.97059461736984,10.9188237846947940.7778860875390952,
e_051_25,594.7744248807774,5.437097090761224e-09,623.4787207568218,0.13633854767555706,2.1316014604840983,194.89378917040455,8.4736430074088940.898392647201085,
e_051_26,36987.534854576785,720709456238.5018,14090.081540636704,0.20198281093797424,1.3501933767095893,141.7990109941787,4.4312190935680840.971216062593762,
e_054_01,3626.5032866036213,87.51459183487438,4654.3962159646835,4.999977730031434,0.3301000553565743,1.9390286930701e-09,1.9390286930701e-090.9999999999882483,
e_054_03,-3081.9448143596833,90.47050620801753,987.5470023014876,4.99999998246026,0.4585548827301074,4.489267553136697e-15,4.4892675531366965e-151.0,
e_054_05,-826.9443946570942,36.913979774551244,232.46684859760055,4.99999999999817,4.999999999999999,1.001047729252612,1.00104772925261190.9993536414984648,
e_054_07,-1987.7971338425875,44.28494506292115,316.6414609635316,4.9999998508151595,1.0797327082948491,4.116574751976921e-07,4.116574751976921e-070.9999999997497142,
e_054_09,-5116.94246771385,131.97936094532776,678.3535805149867,3.501674974021965,1.0728214568672747,5.55477389249145e-13,5.55477389249145e-130.9999999999999998,
e_054_11,-3143.2989367586592,117.35142755705513,204.81878890477367,4.999999999999999,1.2235629335317937,4.851658287160187,4.8516582871601860.9985667183789778,
e_054_13,-5498.872846816535,488.061499287374,896.6429229787599,4.925775711710852,1.7195012184081733,3.4440492393203354e-19,3.4440492393203354e-191.0,
e_054_15,-11575.693435667434,904.8220196401574,2546.673121463641,4.999999167229961,1.245173058605418,0.23500166530276564,0.235001665302765640.9998820716771784,
e_054_17,298.79027323809487,230.3791926276176,0.42131515587361656,4.999999999999999,3.6019203548689003,892.1824665669011,892.18246656690110.08400157436663136,
e_054_19,-21629.292860835983,597.3198000750382,5817.915536189928,4.999989972210196,0.9756454470885598,2.6780549185250995,2.67805491852509950.9990632077241713,
e_054_21,-1293.6922617477096,39521.5804088577,264.6628608498541,2.950829575221669e-16,3.072809256008441,19.40248860859709,19.402488608597090.9927925376639684,
e_054_23,-1251.925172614059,15348.25495455884,255.7838862356226,1.3546932828447102e-33,3.1096123180205093,95.73973921133155,95.739739211331570.9704027392499168,
e_054_25,-1656.935971549144,3836.8769553788206,507.7796481519347,0.05896774628494038,4.997244221889575,3.712048080640562e-21,3.712048080640562e-211.0,
