File,wb,ab,t dry,t,shrinkage strain
e_026_01,0.47,4.5,180.0,180.0,-4.148993601421631
e_026_01,0.47,4.5,180.0,187.50505050505052,-4.672419742128494
e_026_01,0.47,4.5,180.0,195.010101010101,-5.159126265415851
e_026_01,0.47,4.5,180.0,202.5151515151515,-5.60485541300508
e_026_01,0.47,4.5,180.0,210.02020202020202,-6.0079296302821605
e_026_01,0.47,4.5,180.0,217.52525252525254,-6.368702619069167
e_026_01,0.47,4.5,180.0,225.03030303030303,-6.68898517609007
e_026_01,0.47,4.5,180.0,232.53535353535352,-6.971526880591459
e_026_01,0.47,4.5,180.0,240.04040404040404,-7.219593302542341
e_026_01,0.47,4.5,180.0,247.54545454545456,-7.436648061999788
e_026_01,0.47,4.5,180.0,255.05050505050505,-7.626130993112095
e_026_01,0.47,4.5,180.0,262.55555555555554,-7.791315417342256
e_026_01,0.47,4.5,180.0,270.06060606060606,-7.935225714506423
e_026_01,0.47,4.5,180.0,277.5656565656566,-8.060598051159767
e_026_01,0.47,4.5,180.0,285.07070707070704,-8.169870235673818
e_026_01,0.47,4.5,180.0,292.57575757575756,-8.265190012208262
e_026_01,0.47,4.5,180.0,300.0808080808081,-8.348434088130851
e_026_01,0.47,4.5,180.0,307.5858585858586,-8.42123259649924
e_026_01,0.47,4.5,180.0,315.0909090909091,-8.48499551507118
e_026_01,0.47,4.5,180.0,322.5959595959596,-8.540938874421107
e_026_01,0.47,4.5,180.0,330.1010101010101,-8.590109495680501
e_026_01,0.47,4.5,180.0,337.6060606060606,-8.633407604787584
e_026_01,0.47,4.5,180.0,345.1111111111111,-8.671607060190539
e_026_01,0.47,4.5,180.0,352.6161616161616,-8.705373170964723
e_026_01,0.47,4.5,180.0,360.1212121212121,-8.735278221263846
e_026_01,0.47,4.5,180.0,367.62626262626264,-8.761814889853476
e_026_01,0.47,4.5,180.0,375.13131313131316,-8.785407784374
e_026_01,0.47,4.5,180.0,382.6363636363636,-8.806423315315882
e_026_01,0.47,4.5,180.0,390.14141414141415,-8.825178125280184
e_026_01,0.47,4.5,180.0,397.64646464646466,-8.841946271921447
e_026_01,0.47,4.5,180.0,405.1515151515151,-8.856965342409286
e_026_01,0.47,4.5,180.0,412.65656565656565,-8.870441655952481
e_026_01,0.47,4.5,180.0,420.16161616161617,-8.882554690429917
e_026_01,0.47,4.5,180.0,427.6666666666667,-8.89346085027151
e_026_01,0.47,4.5,180.0,435.1717171717172,-8.903296675784905
e_026_01,0.47,4.5,180.0,442.67676767676767,-8.912181579215224
e_026_01,0.47,4.5,180.0,450.1818181818182,-8.920220179885984
e_026_01,0.47,4.5,180.0,457.6868686868687,-8.927504299647369
e_026_01,0.47,4.5,180.0,465.19191919191917,-8.934114670365473
e_026_01,0.47,4.5,180.0,472.6969696969697,-8.94012239712543
e_026_01,0.47,4.5,180.0,480.2020202020202,-8.945590214002047
e_026_01,0.47,4.5,180.0,487.7070707070707,-8.950573563497029
e_026_01,0.47,4.5,180.0,495.21212121212125,-8.955121525894839
e_026_01,0.47,4.5,180.0,502.7171717171717,-8.959277620710667
e_026_01,0.47,4.5,180.0,510.22222222222223,-8.963080498974165
e_026_01,0.47,4.5,180.0,517.7272727272727,-8.966564542208893
e_026_01,0.47,4.5,180.0,525.2323232323232,-8.96976038154204
e_026_01,0.47,4.5,180.0,532.7373737373737,-8.97269534833862
e_026_01,0.47,4.5,180.0,540.2424242424242,-8.97539386603645
e_026_01,0.47,4.5,180.0,547.7474747474748,-8.977877791410442
e_026_01,0.47,4.5,180.0,555.2525252525253,-8.980166712273927
e_026_01,0.47,4.5,180.0,562.7575757575758,-8.982278207593488
e_026_01,0.47,4.5,180.0,570.2626262626263,-8.984228075122132
e_026_01,0.47,4.5,180.0,577.7676767676768,-8.986030530917695
e_026_01,0.47,4.5,180.0,585.2727272727273,-8.987698384487802
e_026_01,0.47,4.5,180.0,592.7777777777778,-8.989243192771733
e_026_01,0.47,4.5,180.0,600.2828282828283,-8.990675395718224
e_026_01,0.47,4.5,180.0,607.7878787878788,-8.992004435833893
e_026_01,0.47,4.5,180.0,615.2929292929293,-8.993238863749443
e_026_01,0.47,4.5,180.0,622.7979797979798,-8.994386431571133
e_026_01,0.47,4.5,180.0,630.3030303030303,-8.995454175545714
e_026_01,0.47,4.5,180.0,637.8080808080808,-8.996448489362336
e_026_01,0.47,4.5,180.0,645.3131313131313,-8.997375189239204
e_026_01,0.47,4.5,180.0,652.8181818181818,-8.99823957179186
e_026_01,0.47,4.5,180.0,660.3232323232323,-8.999046465550286
e_026_01,0.47,4.5,180.0,667.8282828282829,-8.999800276880098
e_026_01,0.47,4.5,180.0,675.3333333333334,-9.000505030966693
e_026_01,0.47,4.5,180.0,682.8383838383838,-9.001164408437944
e_026_01,0.47,4.5,180.0,690.3434343434344,-9.001781778128818
e_026_01,0.47,4.5,180.0,697.8484848484849,-9.002360226428912
e_026_01,0.47,4.5,180.0,705.3535353535353,-9.002902583599663
e_026_01,0.47,4.5,180.0,712.8585858585859,-9.003411447400929
e_026_01,0.47,4.5,180.0,720.3636363636364,-9.003889204325615
e_026_01,0.47,4.5,180.0,727.8686868686868,-9.004338048705383
e_026_01,0.47,4.5,180.0,735.3737373737374,-9.0047599999193
e_026_01,0.47,4.5,180.0,742.8787878787879,-9.005156917910117
e_026_01,0.47,4.5,180.0,750.3838383838383,-9.005530517189074
e_026_01,0.47,4.5,180.0,757.8888888888889,-9.005882379489245
e_026_01,0.47,4.5,180.0,765.3939393939394,-9.006213965209291
e_026_01,0.47,4.5,180.0,772.89898989899,-9.006526623773302
e_026_01,0.47,4.5,180.0,780.4040404040404,-9.006821603018414
e_026_01,0.47,4.5,180.0,787.9090909090909,-9.007100057709492
e_026_01,0.47,4.5,180.0,795.4141414141415,-9.007363057269142
e_026_01,0.47,4.5,180.0,802.9191919191919,-9.007611592801778
e_026_01,0.47,4.5,180.0,810.4242424242425,-9.007846583481921
e_026_01,0.47,4.5,180.0,817.929292929293,-9.008068882369328
e_026_01,0.47,4.5,180.0,825.4343434343434,-9.008279281706995
e_026_01,0.47,4.5,180.0,832.939393939394,-9.008478517752064
e_026_01,0.47,4.5,180.0,840.4444444444445,-9.008667275184507
e_026_01,0.47,4.5,180.0,847.9494949494949,-9.008846191133754
e_026_01,0.47,4.5,180.0,855.4545454545455,-9.00901585885938
e_026_01,0.47,4.5,180.0,862.959595959596,-9.00917683111815
e_026_01,0.47,4.5,180.0,870.4646464646464,-9.009329623246629
e_026_01,0.47,4.5,180.0,877.969696969697,-9.009474715985467
e_026_01,0.47,4.5,180.0,885.4747474747475,-9.00961255806902
